SELECT sum("cpu_total") AS "sum_cpu_total" FROM ( SELECT mean("cpu_total") AS "cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537206s AND time <= 1584537276s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537206000000000,9
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537207000000000,4
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537208000000000,0
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537209000000000,0
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537210000000000,2
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537211000000000,23
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537212000000000,23
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537213000000000,71
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537214000000000,75
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537215000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537216000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537217000000000,80
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537218000000000,73
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537219000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537220000000000,76
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537221000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537222000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537223000000000,83
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537224000000000,82
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537225000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537226000000000,87
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537227000000000,89
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537228000000000,86
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537229000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537230000000000,77
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537231000000000,80
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537232000000000,76
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537233000000000,77
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537234000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537235000000000,77
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537236000000000,85
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537238000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537239000000000,76
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537240000000000,76
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537241000000000,71
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537242000000000,71
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537243000000000,76
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537244000000000,73
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537245000000000,73
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537246000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537247000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537248000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537249000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537250000000000,83
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537251000000000,83
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537252000000000,84
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537253000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537254000000000,78
